sample_index,sample_name_tsv,biorep_id,group_real,batch,date,include_v4,notes
1,2025017_10_AT_YNG,10,YNG,A,20250506,Yes,
2,2025017_11_AT_YNG,11,YNG,A,20250506,Yes,
3,2025017_12_AT_FLOR,12,FLOR,A,20250506,Yes,
4,2025017_13_AT_YNG,13,YNG,A,20250506,Yes,
5,2025017_14_AT_FLOR,14,FLOR,A,20250506,Yes,
6,2025017_15_AT_FLOR,15,FLOR,B,20250507,No,"Huerfana_tecnica: biorep 15, 81pc ceros en QA, FLOR B excluida"
7,2025017_16_AT_FLOR,16,FLOR,B,20250507,Yes,
8,2025017_17_AT_SEN,17,SEN,B,20250507,Yes,
9,2025017_18_AT_FLOR,18,FLOR,B,20250507,Yes,
10,2025017_19_AT_SEN,19,SEN,B,20250507,Yes,
11,2025017_1_AT_YNG,1,YNG,A,20250506,Yes,
12,2025017_20_AT_FLOR,20,FLOR,B,20250507,Yes,
13,2025017_21_AT_BOT,21,BOT,B,20250507,Yes,
14,2025017_22_AT_BOT,22,BOT,B,20250507,Yes,
15,2025017_23_AT_SEN,23,SEN,B,20250507,Yes,
16,2025017_24_AT_FLOR,24,FLOR,B,20250507,Yes,
17,2025017_25_AT_BOT,25,BOT,B,20250507,Yes,
18,2025017_26_AT_SEN,26,SEN,B,20250507,Yes,
19,2025017_27_AT_SEN,27,SEN,B,20250507,Yes,
20,2025017_28_AT_BOT,28,BOT,B,20250507,Yes,
21,2025017_29_AT_BOT,29,BOT,B,20250507,Yes,
22,2025017_2_AT_SEN,2,SEN,A,20250506,Yes,
23,2025017_30_AT_FLOR,30,FLOR,B,20250507,Yes,
24,2025017_31_AT_BOT,31,BOT,B,20250507,Yes,
25,2025017_32_AT_FLOR,32,FLOR,B,20250507,Yes,
26,2025017_33_AT_SEN,33,SEN,B,20250507,Yes,
27,2025017_34_AT_SEN,34,SEN,B,20250507,Yes,
28,2025017_3_AT_SEN,3,SEN,A,20250506,No,"Huerfana_tecnica: biorep 3, 53.6pc ceros + 9.4x menos area que mediana SEN, SEN A excluida"
29,2025017_4_AT_BOT,4,BOT,A,20250506,Yes,
30,2025017_5_AT_BOT,5,BOT,A,20250506,Yes,
31,2025017_6_AT_BOT,6,BOT,A,20250506,Yes,
32,2025017_7_AT_BOT,7,BOT,A,20250506,Yes,
33,2025017_8_AT_BOT,8,BOT,A,20250506,Yes,
34,2025017_9_AT_YNG,9,YNG,A,20250506,Yes,
