sample_index,tsv_name,biorep,group_real,batch,processing_order,notes
1,2025017_10_AT_YNG,10,,,,
2,2025017_11_AT_YNG,11,,,,
3,2025017_12_AT_FLOR,12,,,,
4,2025017_13_AT_YNG,13,,,,
5,2025017_14_AT_FLOR,14,,,,
6,2025017_15_AT_FLOR,15,,,,
7,2025017_16_AT_FLOR,16,,,,
8,2025017_17_AT_SEN,17,,,,
9,2025017_18_AT_FLOR,18,,,,
10,2025017_19_AT_SEN,19,,,,
11,2025017_1_AT_YNG,1,,,,
12,2025017_20_AT_FLOR,20,,,,
13,2025017_21_AT_BOT,21,,,,
14,2025017_22_AT_BOT,22,,,,
15,2025017_23_AT_SEN,23,,,,
16,2025017_24_AT_FLOR,24,,,,
17,2025017_25_AT_BOT,25,,,,
18,2025017_26_AT_SEN,26,,,,
19,2025017_27_AT_SEN,27,,,,
20,2025017_28_AT_BOT,28,,,,
21,2025017_29_AT_BOT,29,,,,
22,2025017_2_AT_SEN,2,,,,
23,2025017_30_AT_FLOR,30,,,,
24,2025017_31_AT_BOT,31,,,,
25,2025017_32_AT_FLOR,32,,,,
26,2025017_33_AT_SEN,33,,,,
27,2025017_34_AT_SEN,34,,,,
28,2025017_3_AT_SEN,3,,,,
29,2025017_4_AT_BOT,4,,,,
30,2025017_5_AT_BOT,5,,,,
31,2025017_6_AT_BOT,6,,,,
32,2025017_7_AT_BOT,7,,,,
33,2025017_8_AT_BOT,8,,,,
34,2025017_9_AT_YNG,9,,,,
